interaction,zip_size,ops_per_interaction,merge_rate,replication_rate,cooperation_index,bloodied_branch_rate,mean_hp_ratio,genotype_diversity,opcode_entropy,role_entropy,striker_frac,defender_frac,leader_frac,hybrid_frac,replicator_frac,signal_convention_strength,grant_rate
100000,990,134.748810,0.00652000,1.95001000,1.00000000,0.40277513,0.79076628,0.01171875,3.66498972,0.99827949,0.00000000,0.52441406,0.00000000,0.47558594,0.16894531,0.14257812,4.60937000
200000,508,132.894185,0.00343500,1.97081500,1.00000000,0.37089764,0.82518678,0.00195312,3.55522476,0.90365785,0.00000000,0.68066406,0.00000000,0.31933594,0.00000000,0.16796875,4.68601500
300000,345,131.236230,0.00229333,1.98053667,0.98039216,0.30603217,0.82896968,0.00195312,3.45680186,0.47085022,0.00000000,0.89941406,0.00000000,0.10058594,0.00000000,0.05468750,4.75736333
400000,166,125.112495,0.00172000,1.98540250,1.00000000,0.26882762,0.82708957,0.00195312,3.38192625,0.02887388,0.00000000,0.99707031,0.00000000,0.00292969,0.00000000,0.00195312,4.34788000
500000,127,119.926406,0.00137600,1.98832200,0.98039216,0.24255723,0.82650432,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.97545600
600000,127,116.468128,0.00114667,1.99026833,0.98039216,0.22161359,0.82941911,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.72726333
700000,127,114.001821,0.00098286,1.99165857,0.98039216,0.20460468,0.83369783,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.55000571
800000,127,112.145405,0.00086000,1.99270125,0.96078431,0.19040243,0.82684207,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.41698625
900000,127,110.700056,0.00076444,1.99351222,0.96078431,0.17850826,0.82639293,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.31319889
1000000,127,109.545003,0.00068800,1.99416100,1.00000000,0.16830741,0.83225510,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.23033300
1100000,127,108.604542,0.00062545,1.99469182,1.00000000,0.15948261,0.82119252,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.16275909
1200000,127,107.818862,0.00057333,1.99513417,1.00000000,0.15178791,0.83743293,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.10635750
1300000,127,107.152599,0.00052923,1.99550846,0.98039216,0.14502789,0.83324629,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.05847077
1400000,127,106.581582,0.00049143,1.99582929,1.00000000,0.13897715,0.82769633,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.01758214
1500000,127,106.092122,0.00045867,1.99610733,0.96078431,0.13361396,0.82776963,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.98232133
1600000,127,105.658632,0.00043000,1.99635063,0.98039216,0.12875533,0.82447308,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.95129062
1700000,127,105.277743,0.00040471,1.99656529,0.98039216,0.12438804,0.82126992,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.92391588
1800000,127,104.941176,0.00038222,1.99675611,0.98039216,0.12046030,0.83502466,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.89959000
1900000,127,104.636696,0.00036211,1.99692684,1.00000000,0.11682943,0.82247055,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.87778474
2000000,127,104.364588,0.00034400,1.99708050,1.00000000,0.11350099,0.83126442,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.85826800
2100000,127,104.115341,0.00032762,1.99721952,1.00000000,0.11043750,0.82393771,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.84045762
2200000,127,103.891213,0.00031273,1.99734591,1.00000000,0.10764322,0.83265257,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.82431409
2300000,127,103.686490,0.00029913,1.99746130,0.96078431,0.10505757,0.82710753,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.80956739
2400000,127,103.499077,0.00028667,1.99756708,0.98039216,0.10265132,0.82898093,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.79608250
2500000,127,103.325569,0.00027520,1.99766440,0.98039216,0.10040753,0.84025332,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.78363320
2600000,127,103.166721,0.00026462,1.99775423,1.00000000,0.09831648,0.82656304,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.77220308
2700000,127,103.019106,0.00025481,1.99783741,0.98039216,0.09636796,0.83298911,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.76158556
2800000,127,102.880133,0.00024571,1.99791464,1.00000000,0.09452114,0.82929911,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.75166107
2900000,127,102.750862,0.00023724,1.99798655,0.98039216,0.09278404,0.82962271,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.74243448
3000000,127,102.631933,0.00022933,1.99805367,0.98039216,0.09115350,0.81906635,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.73391767
3100000,127,102.519713,0.00022194,1.99811645,1.00000000,0.08963608,0.83441404,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.72584774
3200000,127,102.414764,0.00021500,1.99817531,0.98039216,0.08822510,0.82379072,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.71824906
3300000,127,102.316211,0.00020848,1.99823061,0.94117647,0.08685320,0.82891112,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.71119091
3400000,127,102.223041,0.00020235,1.99828265,1.00000000,0.08554738,0.83299245,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.70454147
3500000,127,102.135829,0.00019657,1.99833171,0.98039216,0.08432319,0.82219651,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.69827057
3600000,127,102.052438,0.00019111,1.99837806,1.00000000,0.08315645,0.82673978,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.69231083
3700000,127,101.975768,0.00018595,1.99842189,0.94117647,0.08206371,0.82885076,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.68675270
3800000,127,101.902137,0.00018105,1.99846342,1.00000000,0.08102077,0.82565004,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.68143974
3900000,127,101.831743,0.00017641,1.99850282,1.00000000,0.08000583,0.83374717,0.00097656,3.37892803,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.67642000
